"Metropolitan Statistical Area","Charleston - North Charleston, SC",787643
"Metropolitan Statistical Area","Greensboro - High Point (Piedmont Triad), NC",767711
"Metropolitan Statistical Area","Cape Coral - Fort Myers, FL",754610
"Metropolitan Statistical Area","Stockton, CA",752660
"Metropolitan Statistical Area","Little Rock - North Little Rock - Conway, AR",741104
"Metropolitan Statistical Area","Colorado Springs, CO",738939
"Metropolitan Statistical Area","Boise City, ID",730426
"Metropolitan Statistical Area","Lakeland - Winter Haven, FL",708009
"Metropolitan Statistical Area","Akron, OH",704845
"Metropolitan Statistical Area","Springfield, MA",702724
"Metropolitan Statistical Area","Des Moines - West Des Moines, IA",692556
"Metropolitan Statistical Area","Poughkeepsie - Newburgh - Middletown, NY",675669
"Metropolitan Statistical Area","Ogden - Clearfield, UT",675067
"Metropolitan Statistical Area","Winston-Salem, NC",671456
"Metropolitan Statistical Area","Madison, WI",660422
"Metropolitan Statistical Area","Deltona - Daytona Beach - Ormond Beach, FL",659605
"Metropolitan Statistical Area","Syracuse, NY",650502
"Metropolitan Statistical Area","Toledo, OH",643640
"Metropolitan Statistical Area","Wichita, KS",637578
"Metropolitan Statistical Area","Durham - Chapel Hill (Research Triangle), NC",635527
"Metropolitan Statistical Area","Provo - Orem, UT",633768
"Metropolitan Statistical Area","Augusta - Richmond County, GA-SC",604167
"Metropolitan Statistical Area","Jackson, MS",597788
"Metropolitan Statistical Area","Palm Bay - Melbourne - Titusville, FL",596849
"Metropolitan Statistical Area","Harrisburg - Carlisle, PA",574659
"Metropolitan Statistical Area","Chattanooga, TN-GA",560793
"Metropolitan Statistical Area","Spokane - Spokane Valley, WA",559891
"Metropolitan Statistical Area","Scranton - Wilkes-Barre (Wyoming Valley), PA",555485
"Metropolitan Statistical Area","Lansing - East Lansing, MI",550085
"Metropolitan Statistical Area","Modesto, CA",549815
"Metropolitan Statistical Area","Lancaster, PA",543557
"Metropolitan Statistical Area","Youngstown - Warren - Boardman (Mahoning Valley), OH-PA",538952
"Metropolitan Statistical Area","Portland - South Portland, ME",535420
"Metropolitan Statistical Area","Fayetteville - Springdale - Rogers (Northwest Arkansas), AR",526050
"Metropolitan Statistical Area","Fayetteville, NC",521308
"Metropolitan Statistical Area","Lexington - Fayette, KY",516697
"Metropolitan Statistical Area","Santa Rosa - Petaluma, CA",499942
"Metropolitan Statistical Area","Pensacola - Ferry Pass - Brent, FL",494883
"Metropolitan Statistical Area","Lafayette, LA",489364
"Metropolitan Statistical Area","Port St. Lucie, FL",482040
"Metropolitan Statistical Area","Myrtle Beach - Conway - North Myrtle Beach, SC-NC",480891
"Metropolitan Statistical Area","Reno, NV",469764
"Metropolitan Statistical Area","Springfield, MO",466978
"Metropolitan Statistical Area","Visalia, CA",465861
"Metropolitan Statistical Area","Huntsville, AL",462693
"Metropolitan Statistical Area","Asheville, NC",459585
"Metropolitan Statistical Area","Killeen - Temple, TX",451679
"Metropolitan Statistical Area","York - Hanover, PA",448273
"Metropolitan Statistical Area","Vallejo, CA",446610
"Metropolitan Statistical Area","Santa Maria - Santa Barbara, CA",446527
"Metropolitan Statistical Area","Salinas, CA",435594
"Metropolitan Statistical Area","Salem, OR",432102
"Metropolitan Statistical Area","Mobile, AL",430135
"Metropolitan Statistical Area","Corpus Christi, TX",429158
"Metropolitan Statistical Area","Brownsville - Harlingen, TX",423908
"Metropolitan Statistical Area","Reading, PA",420152
"Metropolitan Statistical Area","Gulfport - Biloxi, MS",415978
"Metropolitan Statistical Area","Manchester - Nashua, NH",415247
"Metropolitan Statistical Area","Salisbury, MD-DE",409979
"Metropolitan Statistical Area","Fort Wayne, IN",409425
"Metropolitan Statistical Area","Flint, MI",406892
"Metropolitan Statistical Area","Peoria, IL",403217
"Metropolitan Statistical Area","Anchorage, AK",399148
"Metropolitan Statistical Area","Canton - Massillon, OH",398655
"Metropolitan Statistical Area","Shreveport - Bossier City, LA",397543
"Metropolitan Statistical Area","Beaumont - Port Arthur, TX",395780
"Metropolitan Statistical Area","Savannah, GA",389494
"Metropolitan Statistical Area","Tallahassee, FL",385145
"Metropolitan Statistical Area","Davenport - Moline - Rock Island (Quad Cities), IA-IL",381451
"Metropolitan Statistical Area","Eugene - Springfield, OR",379611
"Metropolitan Statistical Area","Naples - Marco Island, FL",378488
"Metropolitan Statistical Area","Montgomery, AL",373225
"Metropolitan Statistical Area","Ann Arbor, MI",370963
"Metropolitan Statistical Area","Trenton - Princeton, NJ",369811
"Metropolitan Statistical Area","Hickory - Lenoir - Morganton (The Unifour), NC",368416
"Metropolitan Statistical Area","Ocala, FL",359977
"Metropolitan Statistical Area","Huntington - Ashland, WV-KY-OH",359228
"Metropolitan Statistical Area","Fort Collins, CO",350518
"Metropolitan Statistical Area","Rockford, IL",337658
"Metropolitan Statistical Area","Lincoln, NE",334590
"Metropolitan Statistical Area","Gainesville, FL",328982
"Metropolitan Statistical Area","Boulder, CO",326078
"Metropolitan Statistical Area","South Bend - Mishawaka, IN-MI",322424
"Metropolitan Statistical Area","Green Bay, WI",321591
"Metropolitan Statistical Area","Lubbock, TX",319068
"Metropolitan Statistical Area","Columbus, GA-AL",317922
"Metropolitan Statistical Area","Evansville, IN-KY",314672
"Metropolitan Statistical Area","Greeley, CO",314305
"Metropolitan Statistical Area","Roanoke, VA",314172
"Metropolitan Statistical Area","Spartanburg, SC",313888
"Metropolitan Statistical Area","Kingsport - Bristol, TN-VA",306616
"Metropolitan Statistical Area","Clarksville, TN-KY",305825
"Metropolitan Statistical Area","Kennewick - Richland (Tri-Cities), WA",296224
"Metropolitan Statistical Area","Wilmington (Cape Fear), NC",294436
"Metropolitan Statistical Area","Utica - Rome, NY",291410
"Metropolitan Statistical Area","Aguadilla - Isabela, PR",289735
"Metropolitan Statistical Area","Duluth, MN-WI",289457
"Metropolitan Statistical Area","Olympia - Lacey - Tumwater, WA",286419
"Metropolitan Statistical Area","Longview, TX",286143
"Metropolitan Statistical Area","Hagerstown - Martinsburg, MD-WV",285836
"Metropolitan Statistical Area","San Luis Obispo - Paso Robles, CA",284010
"Metropolitan Statistical Area","Crestview - Fort Walton Beach - Destin, FL",278644
"Metropolitan Statistical Area","Laredo, TX",275910
"Metropolitan Statistical Area","Merced, CA",274765
"Metropolitan Statistical Area","Santa Cruz - Watsonville, CA",274255
"Metropolitan Statistical Area","Cedar Rapids, IA",272295
"Metropolitan Statistical Area","Erie, PA",272061
"Metropolitan Statistical Area","Waco, TX",271942
"Metropolitan Statistical Area","Bremerton - Silverdale - Port Orchard, WA",269805
"Metropolitan Statistical Area","Norwich - New London (Southeastern Connecticut), CT",266784
"Metropolitan Statistical Area","Amarillo, TX",265947
"Metropolitan Statistical Area","Sioux Falls, SD",265653
"Metropolitan Statistical Area","Atlantic City - Hammonton, NJ",265429
"Metropolitan Statistical Area","Kalamazoo - Portage, MI",264870
"Metropolitan Statistical Area","Lynchburg, VA",263353
"Metropolitan Statistical Area","College Station - Bryan, TX",262431
"Metropolitan Statistical Area","Charleston, WV",260342
"Metropolitan Statistical Area","Tuscaloosa, AL",251808
"Metropolitan Statistical Area","Yakima, WA",251446
"Metropolitan Statistical Area","Fort Smith, AR-OK",250148
"Metropolitan Statistical Area","Fargo, ND-MN",245471
"Metropolitan Statistical Area","Binghamton, NY",240219
"Metropolitan Statistical Area","Appleton, WI",237524
"Metropolitan Statistical Area","Topeka, KS",232594
"Metropolitan Statistical Area","Prescott Valley - Prescott, AZ",231993
"Metropolitan Statistical Area","Chico, CA",231256
"Metropolitan Statistical Area","Tyler, TX",230221
"Metropolitan Statistical Area","Lafayette - West Lafayette, IN",230091
"Metropolitan Statistical Area","Macon - Bibb County, GA",229737
"Metropolitan Statistical Area","Champaign - Urbana, IL",226379
"Metropolitan Statistical Area","Bellingham, WA",225685
"Metropolitan Statistical Area","Burlington - South Burlington, VT",221083
"Metropolitan Statistical Area","Rochester, MN",219802
"Metropolitan Statistical Area","Medford, OR",219564
"Metropolitan Statistical Area","Charlottesville, VA",218233
"Metropolitan Statistical Area","Daphne - Fairhope - Foley, AL",218022
"Metropolitan Statistical Area","Hilton Head Island - Bluffton, SC",217686
"Metropolitan Statistical Area","Las Cruces, NM",217522
"Metropolitan Statistical Area","Lebanon, NH-VT",217215
"Metropolitan Statistical Area","Ponce, PR",216479
"Metropolitan Statistical Area","Barnstable Town, MA",213413
"Metropolitan Statistical Area","Yuma, AZ",212128
"Metropolitan Statistical Area","Athens - Clarke County, GA",211306
"Metropolitan Statistical Area","Lake Charles, LA",210080
"Metropolitan Statistical Area","Lake Havasu City - Kingman, AZ",209550
"Metropolitan Statistical Area","Houma - Thibodaux, LA",209136
"Metropolitan Statistical Area","Columbia, MO",207745
"Metropolitan Statistical Area","Springfield, IL",207636
"Metropolitan Statistical Area","Elkhart - Goshen, IN",205560
"Metropolitan Statistical Area","Florence, SC",204961
"Metropolitan Statistical Area","Johnson City, TN",202719
"Metropolitan Statistical Area","Monroe, LA",202203
"Metropolitan Statistical Area","Gainesville, GA",202148
"Metropolitan Statistical Area","Hilo, HI",200983
"Metropolitan Statistical Area","St. Cloud, MN",199801
"Metropolitan Statistical Area","Jacksonville, NC",197683
"Metropolitan Statistical Area","Racine, WI",196584
"Metropolitan Statistical Area","Bend, OR",191996
"Metropolitan Statistical Area","Saginaw, MI",190800
"Metropolitan Statistical Area","Terre Haute, IN",186652
"Metropolitan Statistical Area","Panama City, FL",185287
"Metropolitan Statistical Area","Punta Gorda, FL",184998
"Metropolitan Statistical Area","Warner Robins, GA",182766
"Metropolitan Statistical Area","El Centro, CA",181827
"Metropolitan Statistical Area","Torrington, CT",181111
"Metropolitan Statistical Area","Billings, MT",180385
"Metropolitan Statistical Area","Redding, CA",180040
"Metropolitan Statistical Area","Greenville, NC",179914
"Metropolitan Statistical Area","Joplin, MO",178902
"Metropolitan Statistical Area","Kingston, NY",178599
"Metropolitan Statistical Area","Dover, DE",178550
"Metropolitan Statistical Area","Midland, TX",178331
"Metropolitan Statistical Area","Jackson, TN",178254
"Metropolitan Statistical Area","Bowling Green, KY",177432
"Metropolitan Statistical Area","Yuba City, CA",174848
"Metropolitan Statistical Area","Arecibo, PR",174271
"Metropolitan Statistical Area","Muskegon, MI",173588
"Metropolitan Statistical Area","Iowa City, IA",173401
"Metropolitan Statistical Area","Bloomington, IL",172828
"Metropolitan Statistical Area","St. George, UT",171700
"Metropolitan Statistical Area","Abilene, TX",171451
"Metropolitan Statistical Area","Oshkosh - Neenah, WI",171020
"Metropolitan Statistical Area","Waterloo - Cedar Falls, IA",169659
"Metropolitan Statistical Area","East Stroudsburg, PA",169507
"Metropolitan Statistical Area","Eau Claire, WI",168669
"Metropolitan Statistical Area","Hattiesburg, MS",168267
"Metropolitan Statistical Area","Blacksburg - Christiansburg, VA",168234
"Metropolitan Statistical Area","Bloomington, IN",167762
"Metropolitan Statistical Area","Pueblo, CO",167529
"Metropolitan Statistical Area","Kahului - Wailuku - Lahaina, HI",167207
"Metropolitan Statistical Area","Burlington, NC",166436
"Metropolitan Statistical Area","Tupelo, MS",165867
"Metropolitan Statistical Area","Auburn - Opelika, AL",163941
"Metropolitan Statistical Area","Janesville - Beloit, WI",163129
"Metropolitan Statistical Area","Wausau - Weston, WI",163117
"Metropolitan Statistical Area","State College, PA",162805
"Metropolitan Statistical Area","Odessa, TX",162124
"Metropolitan Statistical Area","Coeur d'Alene, ID",161505
"Metropolitan Statistical Area","Jackson, MI",158823
"Metropolitan Statistical Area","Madera, CA",157672
"Metropolitan Statistical Area","Sebastian - Vero Beach, FL",157413
"Metropolitan Statistical Area","Chambersburg - Waynesboro, PA",154835
"Metropolitan Statistical Area","Niles, MI",154141
"Metropolitan Statistical Area","Elizabethtown - Fort Knox, KY",153378
"Metropolitan Statistical Area","Grand Junction, CO",153207
"Metropolitan Statistical Area","Alexandria, LA",153044
"Metropolitan Statistical Area","Decatur, AL",152046
"Metropolitan Statistical Area","Jefferson City, MO",151520
"Metropolitan Statistical Area","Hanford - Corcoran, CA",151366
"Metropolitan Statistical Area","Wichita Falls, TX",151306
"Metropolitan Statistical Area","Concord, NH",151132
"Metropolitan Statistical Area","Bangor, ME",151096
"Metropolitan Statistical Area","Vineland - Bridgeton, NJ",150972
"Metropolitan Statistical Area","Monroe, MI",150439
"Metropolitan Statistical Area","Texarkana, TX-AR",150242
"Metropolitan Statistical Area","Santa Fe, NM",150056
"Metropolitan Statistical Area","Albany, GA",149917
"Metropolitan Statistical Area","Traverse City, MI",149914
"Metropolitan Statistical Area","Idaho Falls, ID",148904
"Metropolitan Statistical Area","London, KY",148320
"Metropolitan Statistical Area","Dothan, AL",148245
"Metropolitan Statistical Area","Ottawa, IL",148163
"Metropolitan Statistical Area","Homosassa Springs, FL",147929
"Metropolitan Statistical Area","Florence - Muscle Shoals, AL",147149
"Metropolitan Statistical Area","Valdosta, GA",146174
"Metropolitan Statistical Area","Rocky Mount, NC",146021
"Metropolitan Statistical Area","Dalton, GA",143983
"Metropolitan Statistical Area","Sioux City, IA-NE-SD",143950
"Metropolitan Statistical Area","Flagstaff, AZ",142854
"Metropolitan Statistical Area","Pottsville, PA",142067
"Metropolitan Statistical Area","Morristown, TN",141726
"Metropolitan Statistical Area","Lebanon, PA",141314
"Metropolitan Statistical Area","Logan, UT-ID",140794
"Metropolitan Statistical Area","Morgantown, WV",140259
"Metropolitan Statistical Area","Sumter, SC",140212
"Metropolitan Statistical Area","Wheeling, WV-OH",140045
"Metropolitan Statistical Area","Rapid City, SD",140023
"Metropolitan Statistical Area","Winchester, VA-WV",139810
"Metropolitan Statistical Area","Napa, CA",139417
"Metropolitan Statistical Area","Carbondale - Marion, IL",136931
"Metropolitan Statistical Area","La Crosse - Onalaska, WI-MN",136808
"Metropolitan Statistical Area","Eureka - Arcata, CA",136373
"Metropolitan Statistical Area","Harrisonburg, VA",135277
"Metropolitan Statistical Area","Springfield, OH",134585
"Metropolitan Statistical Area","Battle Creek, MI",134487
"Metropolitan Statistical Area","Sherman - Denison, TX",133991
"Metropolitan Statistical Area","Hammond, LA",133777
"Metropolitan Statistical Area","Jonesboro, AR",132532
"Metropolitan Statistical Area","Lumberton, NC",131831
